Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
AsymmetricTop,Ground,51,E+,4,Ground,51,E-,3,33467.3982532956,2.90075423022986E-9,15063548.2032146,15030080.8049613,0.344218024734864,4.37445116287767E-9,0,"qQ6,46(51)",v=0 51  6 45 - v=0 51  6 46
AsymmetricTop,Ground,35,O+,1,Ground,34,O+,2,33812.3898630189,2.34364768056748E-9,6676461.43467791,6642649.04481489,0.00486589580129507,9.25110037687981E-11,0,"oR3,31(34)",v=0 35  1 34 - v=0 34  3 31
AsymmetricTop,Ground,36,E+,4,Ground,37,E+,3,33815.6118741017,1.41934167603899E-9,7973910.77404939,7940095.16217529,0.00549161161174747,1.01575750237673E-10,0,"sP4,33(37)",v=0 36  6 30 - v=0 37  4 33
AsymmetricTop,Ground,33,O+,2,Ground,32,O+,3,34813.7932572216,5.06082953515395E-9,6273363.45368409,6238549.66042686,0.00816618960075731,1.79580852074345E-10,0,"oR5,27(32)",v=0 33  3 30 - v=0 32  5 27
AsymmetricTop,Ground,5,E+,2,Ground,6,E+,1,36308.2254325305,9.93920432372366E-9,258148.414525006,221840.189092476,0.000821756781506995,1.24861059307679E-10,0,"sP0,6(6)",v=0  5  2  3 - v=0  6  0  6
AsymmetricTop,Ground,34,E+,3,Ground,34,E-,2,37294.1443040026,1.29974669502919E-7,6767082.02434421,6729787.8800402,0.23148544047022,6.07656103673565E-9,0,"qQ4,31(34)",v=0 34  4 30 - v=0 34  4 31
AsymmetricTop,Ground,38,O-,3,Ground,39,O-,2,37709.291375028,1.31197497136597E-9,8510357.95934067,8472648.66796564,0.00527570055240513,1.2829090229841E-10,0,"sP3,37(39)",v=0 38  5 34 - v=0 39  3 37
AsymmetricTop,Ground,29,E+,2,Ground,30,E+,1,38086.944525104,2.05723345648606E-9,4799352.35226896,4761265.40774385,0.0013660407576107,4.46685010967903E-11,0,"sP0,30(30)",v=0 29  2 27 - v=0 30  0 30
AsymmetricTop,Ground,26,E+,2,Ground,25,E+,3,38149.3419192955,1.91617223667154E-8,3894396.88356862,3856247.54164932,0.0082142461151462,3.00479139839365E-10,0,"oR4,21(25)",v=0 26  2 24 - v=0 25  4 21
AsymmetricTop,Ground,12,O+,2,Ground,13,O+,1,38444.0230891479,1.71134175761122E-8,1050931.49156714,1012487.46847799,0.00184542411918606,1.46454933424693E-10,0,"sP1,12(13)",v=0 12  3  9 - v=0 13  1 12
